Date,Adj Close,Close,High,Low,Open,Volume,Asset,Daily Return
2020-03-13,69.1027603149414,83.72000122070312,84.44999694824219,81.5,81.69000244140625,14137500,BND,4.220091264006287
2020-03-23,69.32563018798828,83.98999786376953,83.98999786376953,81.19999694824219,81.20999908447266,10973300,BND,2.2149199651705143
2022-11-10,62.71449661254883,71.48999786376953,71.48999786376953,70.88999938964844,70.9000015258789,7014100,BND,2.0702411897323802
2020-03-20,67.82337951660156,82.16999816894531,82.55000305175781,80.69000244140625,80.69999694824219,8864500,BND,1.6955384473314128
2022-09-28,62.76421737670898,71.87000274658203,71.9000015258789,71.29000091552734,71.43000030517578,11649700,BND,1.554339629353918
2020-03-25,70.3326416015625,85.20999908447266,85.6500015258789,84.13999938964844,84.13999938964844,9655500,BND,1.3439548392119693
2023-12-13,66.16732025146484,72.95999908447266,73.01000213623047,72.16999816894531,72.20999908447266,7172600,BND,1.2770657374422845
2023-11-14,63.76548385620117,70.51000213623047,70.56999969482422,70.4000015258789,70.48999786376953,8237100,BND,1.220210205908212
2023-03-10,64.34425354003906,72.66999816894531,72.83000183105469,72.41000366210938,72.51000213623047,4779500,BND,1.1976056810889535
2022-06-15,64.35501861572266,74.13999938964844,74.19000244140625,73.5,73.8499984741211,9098600,BND,1.1459703996158144
