Date,Adj Close,Close,High,Low,Open,Volume,Asset,Daily Return
2020-03-12,66.30464935302734,80.33000183105469,84.88999938964844,76.48999786376953,83.4800033569336,16986900,BND,-5.43848767881927
2020-03-18,66.73387908935547,80.8499984741211,82.66999816894531,80.30999755859375,81.44000244140625,10076800,BND,-2.4140012514601517
2020-03-17,68.38467407226562,82.8499984741211,84.72000122070312,82.79000091552734,83.55000305175781,13629700,BND,-2.068557956931072
2020-03-11,70.11804962158203,84.94999694824219,87.23999786376953,84.87000274658203,86.77999877929688,10511600,BND,-1.8939825141565447
2022-06-13,63.97306823730469,73.69999694824219,74.25,73.37000274658203,74.20999908447266,11255300,BND,-1.615280542936659
2020-03-10,71.47167205810547,86.58999633789062,87.69000244140625,86.58999633789062,87.44000244140625,14177600,BND,-1.3444233226696856
2022-09-26,62.07430267333984,71.08000183105469,71.80999755859375,71.05999755859375,71.7699966430664,8658900,BND,-1.2777752346462723
2023-05-01,65.07946014404297,73.13999938964844,73.66000366210938,73.05999755859375,73.5999984741211,4546500,BND,-1.26890175239196
2022-03-02,70.0508041381836,81.20999908447266,81.91000366210938,81.20999908447266,81.86000061035156,6491500,BND,-1.2284141586416664
2025-04-07,69.43783569335938,72.93000030517578,73.69000244140625,72.8499984741211,73.6500015258789,14283000,BND,-1.2056345073526709
