Date,Adj Close,Close,High,Low,Open,Volume,Asset,Daily Return
2015-06-29,171.26605224609375,205.4199981689453,209.8300018310547,205.3300018310547,208.0500030517578,202621300,SPY,-2.097039844477
2015-08-20,170.05709838867188,203.97000122070312,208.2899932861328,203.8999938964844,206.50999450683597,194327900,SPY,-2.0881364970122607
2015-08-21,164.93797302246094,197.8300018310547,203.94000244140625,197.5200042724609,201.72999572753903,346588500,SPY,-3.0102462876414493
2015-08-24,157.9929962158203,189.5,197.47999572753903,182.3999938964844,187.4900054931641,507244300,SPY,-4.210686829072796
2015-08-26,162.12828063964844,194.4600067138672,194.7899932861328,188.3699951171875,192.0800018310547,339257000,SPY,3.8393775176859046
2015-08-27,166.13858032226562,199.2700042724609,199.4199981689453,195.2100067138672,197.0200042724609,274143900,SPY,2.473515063522158
2015-09-01,159.88552856445312,191.7700042724609,194.7700042724609,190.72999572753903,193.1199951171875,256000400,SPY,-2.9847695407179464
2015-09-08,164.60446166992188,197.42999267578125,197.6100006103516,195.1699981689453,195.94000244140625,116025700,SPY,2.5131088996954043
2015-09-18,163.80087280273438,195.4499969482422,198.67999267578125,194.9600067138672,195.7100067138672,223657500,SPY,-2.1428923400846567
2015-09-28,157.5656280517578,188.00999450683597,191.91000366210935,187.63999938964844,191.77999877929688,178515900,SPY,-2.5097285162032468
2015-12-11,169.1897430419922,201.8800048828125,204.13999938964844,201.50999450683597,203.3500061035156,211173300,SPY,-1.93811158935705
2015-12-18,168.6284942626953,200.0200042724609,202.92999267578125,199.8300018310547,202.7700042724609,251393500,SPY,-2.362587290574336
2016-01-07,163.59544372558594,194.0500030517578,197.44000244140625,193.58999633789065,195.3300018310547,213436100,SPY,-2.399157075113889
2016-01-13,159.19467163085938,188.8300018310547,194.8600006103516,188.3800048828125,194.4499969482422,221168900,SPY,-2.4940626560566725
2016-01-15,158.3347625732422,187.80999755859372,188.75999450683597,185.5200042724609,186.7700042724609,324846400,SPY,-2.1466134915907875
2016-01-22,160.6194305419922,190.5200042724609,190.75999450683597,188.8800048828125,189.77999877929688,168319600,SPY,2.0515302270975866
2016-01-29,163.31719970703125,193.72000122070312,193.8800048828125,189.8800048828125,190.0200042724609,210529300,SPY,2.4377349666716563
2016-02-05,158.45274353027344,187.9499969482422,191.6699981689453,187.1999969482422,190.9900054931641,180788300,SPY,-1.9050151560545459
2016-02-12,157.33995056152344,186.6300048828125,186.6499938964844,183.9600067138672,184.9600067138672,127632400,SPY,2.0616888657319032
2016-03-01,167.01821899414062,198.1100006103516,198.2100067138672,194.4499969482422,195.00999450683597,141799700,SPY,2.350693898092504
2016-06-24,173.12254333496094,203.2400054931641,210.8500061035156,202.72000122070312,203.6300048828125,333444400,SPY,-3.5909075248319655
2016-09-09,181.6746826171875,213.27999877929688,217.02999877929688,213.25,216.97000122070312,221589100,SPY,-2.3934812406832373
2016-11-07,182.48114013671875,213.1499938964844,213.19000244140625,208.5500030517578,208.5500030517578,109794900,SPY,2.205701643449487
2018-02-02,241.8187713623047,275.45001220703125,280.2300109863281,275.4100036621094,280.0799865722656,173174800,SPY,-2.1769922073851533
2018-02-05,231.7052459716797,263.92999267578125,275.8500061035156,263.3099975585937,273.45001220703125,294681800,SPY,-4.1822541371286714
2018-02-08,226.1744384765625,257.6300048828125,268.1700134277344,257.5899963378906,268.010009765625,246449500,SPY,-3.750890290754394
2018-03-22,232.40403747558597,263.6700134277344,268.8699951171875,263.3599853515625,267.9100036621094,148785900,SPY,-2.499715057919416
2018-03-23,227.4504852294922,258.04998779296875,264.5400085449219,257.8299865722656,264.1700134277344,183534800,SPY,-2.1314618077743375
2018-03-26,233.6732940673828,265.1099853515625,265.42999267578125,259.4100036621094,262.1300048828125,141956100,SPY,2.7359030779175786
2018-04-02,226.93919372558597,257.4700012207031,263.1300048828125,254.6699981689453,262.54998779296875,186286300,SPY,-2.158462020719487
2018-04-06,228.92247009277344,259.7200012207031,265.1099853515625,258.0,263.4200134277344,179521200,SPY,-2.228584965096181
2018-10-10,247.5160980224609,278.29998779296875,286.9100036621094,277.8800048828125,286.8299865722656,214731000,SPY,-3.1663209104984436
2018-10-11,242.06423950195312,272.1700134277344,278.8999938964844,270.3599853515625,277.0799865722656,274840500,SPY,-2.2026498864939015
2018-10-16,249.38385009765625,280.3999938964844,280.82000732421875,276.07000732421875,276.6000061035156,118255800,SPY,2.1865889699193897
2018-10-24,235.97189331054688,265.32000732421875,273.760009765625,264.70001220703125,273.3299865722656,177806700,SPY,-3.029852151299206
2018-11-07,249.9263916015625,281.010009765625,281.1000061035156,277.0799865722656,277.5599975585937,102752100,SPY,2.140889340278096
2018-11-12,242.4199676513672,272.57000732421875,277.4599914550781,271.989990234375,277.19000244140625,99673600,SPY,-1.8685203985215892
2018-11-20,234.90460205078125,264.1199951171875,267.0,263.1499938964844,265.3599853515625,136021300,SPY,-1.8506171956058748
2018-11-28,244.2075958251953,274.5799865722656,274.5799865722656,268.3299865722656,269.6000061035156,127629600,SPY,2.302530855557583
2018-12-04,240.35662841796875,270.25,278.8500061035156,269.8999938964844,278.3699951171875,177986000,SPY,-3.240239236844167
2018-12-07,234.4154357910156,263.57000732421875,271.2200012207031,262.6300048828125,269.4599914550781,161018900,SPY,-2.3235951299897972
2018-12-14,231.65838623046875,260.4700012207031,264.0299987792969,259.8500061035156,262.9599914550781,116961100,SPY,-1.8464762356876663
2018-12-17,227.11358642578125,255.3600006103516,260.6499938964844,253.52999877929688,259.3999938964844,165492300,SPY,-1.9618384406662193
2018-12-21,215.32534790039065,240.6999969482422,249.7100067138672,239.97999572753903,246.7400054931641,255345600,SPY,-2.6176321028577143
2018-12-24,209.6357879638672,234.33999633789065,240.83999633789065,234.2700042724609,239.0399932861328,147311600,SPY,-2.6422935982500784
