Date,Adj Close,Close,High,Low,Open,Volume,Asset,Daily Return
2020-03-16,218.6279144287109,239.8500061035156,256.8999938964844,237.3600006103516,241.17999267578125,297240000,SPY,-10.942373540494499
2020-03-12,226.1570587158203,248.1100006103516,266.6600036621094,247.67999267578125,256.0,392220700,SPY,-9.567716191402475
2020-03-09,249.9659576416016,274.2300109863281,284.19000244140625,273.45001220703125,275.29998779296875,309417300,SPY,-7.809447030209493
2025-04-04,498.2696838378906,505.2799987792969,525.8699951171875,505.05999755859375,523.6699829101562,217965100,SPY,-5.854297133053565
2020-06-11,275.6230773925781,300.6099853515625,312.1499938964844,300.010009765625,311.4599914550781,209243600,SPY,-5.764894874118342
2020-03-18,218.76466369628903,240.0,248.3699951171875,228.0200042724609,236.25,327597100,SPY,-5.063292285300003
2025-04-03,529.2537231445312,536.7000122070312,547.969970703125,536.7000122070312,545.1099853515625,125986000,SPY,-4.9280816200848125
2020-03-11,250.08447265625,274.3599853515625,281.94000244140625,270.8800048828125,280.70001220703125,255316300,SPY,-4.874844817138435
2020-03-20,209.781982421875,228.8000030517578,244.47000122070312,228.5,242.52999877929688,347158800,SPY,-4.868816981634971
2020-04-01,225.68983459472656,246.1499938964844,257.6600036621094,243.8999938964844,247.97999572753903,189554600,SPY,-4.500487334050673
