Date,Adj Close,Close,High,Low,Open,Volume,Asset
2015-01-02,0.029153522169425516,0.04447113783777673,0.0448813938421902,0.04556810173734638,0.04729491969098171,0.2078054221752565,SPY
2015-01-05,0.023399339610602587,0.03716109798940376,0.03993614613036234,0.04000000240177687,0.042947080552174166,0.30671557000030597,SPY
2015-01-06,0.020452382151642245,0.03341741521731667,0.03668531075399578,0.035100827943520985,0.03885500548601928,0.38786728580953866,SPY
2015-01-07,0.024314375975683977,0.03832360652684824,0.03668531075399578,0.0390752582668184,0.037536889914880356,0.2157746312279724,SPY
2015-01-08,0.02988243973100102,0.04539721211415315,0.04346283984373239,0.045194295191525735,0.04263229861956447,0.2606868576021363,SPY
2015-01-09,0.027323392136675395,0.04214612076288765,0.04397508376310938,0.04424985648632723,0.047334244918115,0.28399301564784835,SPY
2015-01-12,0.024841760337773522,0.038993523643471195,0.04038931620141628,0.04112148208366034,0.04341925345108877,0.2548925066476814,SPY
2015-01-13,0.023957610067239454,0.03787043083800273,0.0421230810393991,0.038347249678784945,0.04284870744582647,0.39896006832393416,SPY
2015-01-14,0.022065364029870915,0.03546658229916144,0.033493579288979336,0.03453025582856456,0.034054686081121055,0.35468216700552785,SPY
2015-01-15,0.019211695183012745,0.03184111665760836,0.035286448038312435,0.03514018706179023,0.03795004495383786,0.3210516448198601,SPY
2015-01-16,0.02325975050797313,0.03698377229360261,0.03491213328743714,0.034490896710295316,0.03232344549028193,0.3934696348452064,SPY
2015-01-20,0.02392660936751756,0.037831015106026544,0.03668531075399578,0.03767829477926071,0.039464876718414865,0.22736538663333977,SPY
2015-01-21,0.025508705151198907,0.03984079652128952,0.038537313477706,0.03919330559941553,0.03769428088118526,0.21083802574386368,SPY
2015-01-22,0.030192675938569113,0.04579130930312586,0.04365984286055724,0.04192817888602174,0.04259297339243123,0.3164150551682091,SPY
2015-01-23,0.02843993304994913,0.04356478646008566,0.04334463202103206,0.046807658774037586,0.04613416506689039,0.1996959593144854,SPY
2015-01-26,0.029184494217853796,0.04451055356975292,0.0422807014906752,0.04491884140806207,0.04400946206991779,0.14731721982042995,SPY
2015-01-27,0.02498129213781569,0.03917087940466668,0.0394435934937597,0.04076734008586902,0.04058627609611559,0.23363573806667004,SPY
2015-01-28,0.02094882311659718,0.03404791660196338,0.03977852567908624,0.03716674633060285,0.042947080552174166,0.3044191449117541,SPY
2015-01-29,0.02381802096461,0.037693105142201644,0.0358578259320666,0.03474665592351883,0.035490867391431535,0.31483263079797025,SPY
2015-01-30,0.019878525391263502,0.0326883594700324,0.03560168894086457,0.03563207096241877,0.0358646671839985,0.3644128653195867,SPY
2015-02-02,0.02370951851558334,0.037555165112982236,0.0353258606668882,0.033133292341006926,0.03484164091264541,0.29331527351648745,SPY
2015-02-03,0.028238485804344127,0.043308629300332246,0.040881868838018864,0.04236103912035166,0.04064529395607275,0.21344637694432744,SPY
