Ticker,BND,BND,BND,BND,BND,TSLA,TSLA,TSLA,TSLA,TSLA,SPY,SPY,SPY,SPY,SPY
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,
2015-01-02,59.0480656741986,59.23431610679267,59.040900724607035,59.20566177368164,2218800,14.857999801635742,14.883333206176758,14.21733283996582,14.620667457580566,71466000,170.47258874432092,170.88559529706598,168.65534982907482,169.6878662109375,121465900
2015-01-05,59.2701530135207,59.39909483012329,59.241498669247086,59.37760543823242,5820100,14.303333282470703,14.433333396911621,13.810667037963867,14.005999565124512,80527500,168.6470660413276,168.8122661140158,166.3177160273211,166.6233367919922,169632600
2015-01-06,59.47784355492203,59.72856202769439,59.47784355492203,59.549476623535156,3887600,14.003999710083008,14.279999732971191,13.61400032043457,14.085332870483398,93928500,166.928980437492,167.44937271154942,164.26096171619886,165.05393981933594,209151400
2015-01-07,59.556657561458685,59.65694497749568,59.49218942197245,59.58531188964844,2433400,14.223333358764648,14.3186674118042,13.985333442687988,14.063332557678223,44526000,166.3755665766757,167.44938618869952,165.92952502298357,167.1107177734375,125346700
2015-01-08,59.535162440815895,59.535162440815895,59.43487503444935,59.492183685302734,1873400,14.187333106994629,14.25333309173584,14.000666618347168,14.041333198547363,51637500,168.51491617689666,170.2908517797395,168.4984049909054,170.07608032226562,147217800
2015-01-09,59.46356079403852,59.66413571280135,59.45639584258081,59.59250259399414,1646100,13.928000450134277,13.998666763305664,13.663999557495117,13.77733325958252,70024500,170.4890266196025,170.50555040371563,168.10185027540396,168.71310424804688,158567300
2015-01-12,59.63545681524721,59.692765472796786,59.59963753796512,59.6712760925293,4397900,13.536666870117188,13.631333351135254,13.283332824707031,13.480667114257812,89254500,168.8453161791333,169.00226066188512,166.7885393225758,167.3915252685547,144396100
2015-01-13,59.67842914182272,59.79304644456493,59.62112595570541,59.728572845458984,2223400,13.554667472839355,13.840666770935059,13.394000053405762,13.616666793823242,67159500,168.60576096190292,169.72913908899594,165.62385367921945,166.9207000732422,214553300
2015-01-14,59.91483258475661,59.97214124507577,59.850364440838554,59.864688873291016,2481200,12.388667106628418,13.013333320617676,12.333333015441895,12.845999717712402,173278500,164.91346747166824,166.1111962382504,164.02138464722543,165.91294860839844,192991100
2015-01-15,59.850361167100424,60.14405847097557,59.850361167100424,60.12973403930664,4214500,12.965999603271484,13.050000190734863,12.666666984558105,12.791333198547363,78247500,166.54894479946304,166.8628210548975,164.27740987357382,164.39305114746094,176613900
2015-01-16,60.03659914263391,60.0652534679031,59.87184360390326,59.95064163208008,3631300,12.713333129882812,12.965999603271484,12.643333435058594,12.871333122253418,54048000,164.18661346110187,166.70595572276284,164.0048895862307,166.54901123046875,211879600
2015-01-20,59.95779487729362,60.05092279104419,59.86467242879621,59.88616180419922,3029500,12.924667358398438,12.941332817077637,12.469332695007324,12.795332908630371,67548000,167.18495504512347,167.44928514258874,165.34295036774137,166.90411376953125,130991100
2015-01-21,60.02227537153859,60.029440319247975,59.76439190653866,59.77155685424805,2473900,12.636667251586914,13.245332717895508,12.633999824523926,13.104666709899902,62295000,166.44163246500446,168.22582370893434,165.97906716560615,167.74673461914062,122942700
2015-01-22,59.9076960514518,59.9076960514518,59.721451014956386,59.785919189453125,2157400,13.133333206176758,13.549332618713379,13.013333320617676,13.441332817077637,61753500,168.49835395998116,170.3733939227786,167.12716970045457,170.24124145507812,174356000
2015-01-23,59.91482784856057,60.007950315276986,59.89333846895326,59.97930145263672,6255000,13.352666854858398,13.566666603088379,13.222000122070312,13.419333457946777,51579000,169.9852312963904,170.24130594621263,169.1757419827697,169.3079071044922,117516800
2015-01-26,59.97931526563875,59.993639700257745,59.87186287760212,59.907676696777344,7810500,13.45533275604248,13.907999992370605,13.403332710266113,13.770000457763672,48517500,169.09316504647256,169.7952686930043,168.38279320153632,169.70440673828125,92009700
2015-01-27,60.07238878051184,60.09387814754912,59.90762785780762,59.94344711303711,1154100,13.628000259399414,13.868666648864746,13.553333282470703,13.732000350952148,41715000,167.655845533799,168.60575536241527,166.63985315825929,167.4658660888672,134044600
2015-01-28,59.914849974233505,60.237201717891345,59.90052553762357,60.158409118652344,1394600,13.740667343139648,13.758000373840332,13.227999687194824,13.291333198547363,47244000,168.64706860560267,168.74618612993115,165.1282578484053,165.3182373046875,168514300
2015-01-29,60.129771478311355,60.15126087182202,60.00082965198962,60.09395217895508,1551300,13.404666900634766,13.732000350952148,13.100000381469727,13.680000305175781,53221500,165.51649304484636,167.10243653138437,164.1122608271368,166.84637451171875,173585400
2015-01-30,60.31599426213635,60.42344665527343,60.25152610540754,60.42344665527344,10474400,13.597332954406738,13.83133316040039,13.533332824707031,13.573332786560059,45105000,165.6734494946458,166.9950628601836,164.48398864289024,164.74830627441406,197729700
2015-02-02,60.25832281442482,60.42341652537577,60.22961610288454,60.35163879394531,6070500,13.597999572753906,14.130000114440918,13.553333282470703,14.062666893005371,62238000,165.24387318713673,166.8793751012651,163.43490302874275,166.78851318359375,163107000
2015-02-03,60.24400388447428,60.28706945268396,60.129155067524465,60.16504669189453,1237200,14.214667320251465,14.691332817077637,14.084667205810547,14.557332992553711,72393000,167.68063958790245,169.20876868484345,167.30893625739085,169.20050048828125,124212900
2015-02-04,60.04305174943534,60.19378678429873,59.97844789089643,60.186607360839844,2945700,14.552666664123535,14.76533317565918,14.453332901000977,14.569999694824219,49581000,168.44055681294967,169.64654124823144,168.10188848340294,168.5561981201172,134306700
2015-02-05,60.07173570173386,60.121980689713475,60.014311293673444,60.057376861572266,2128200,14.658666610717773,15.031999588012695,14.642666816711426,14.732666969299316,52843500,169.21696472610202,170.4064250483072,169.14262660695263,170.2577362060547,97953200
2015-02-06,59.84918201644321,59.87789420345545,59.655381599472726,59.669734954833984,2907700,14.800000190734863,14.893333435058594,14.433333396911621,14.490667343139648,48658500,170.6212406255758,171.18293601095024,169.26657983067707,169.78697204589844,125672000
2015-02-09,59.770242786414975,59.78460162236979,59.6195078666376,59.64822006225586,1384600,14.358667373657227,14.528667449951172,14.13266658782959,14.498666763305664,52086000,169.1426798861956,169.86130713891177,168.622287680321,169.02703857421875,87219000
